OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
3.0,0,15,-25.0,8467.0,ffffe9d8,9b6818
3.0,0,16,-24.0,8598.0,ffffee88,9dce28
3.0,0,17,-23.0,8729.0,fffff338,a03438
3.0,0,18,-22.0,8860.0,fffff7e8,a29a48
3.0,0,19,-21.0,8991.0,fffffc98,a50058
3.0,0,20,-20.0,9122.0,148,a76668
3.0,0,21,-19.0,9253.0,5f8,a9cc78
3.0,0,22,-18.0,9384.0,aa8,ac3288
3.0,0,23,-17.0,9515.0,f58,ae9898
3.0,0,24,-16.0,9645.0,1408,b0f9f8
3.0,0,25,-15.0,9776.0,18b8,b36008
3.0,0,26,-14.0,9907.0,1d68,b5c618
3.0,0,27,-13.0,10038.0,2218,b82c28
3.0,0,28,-12.0,10169.0,26c8,ba9238
3.0,0,29,-11.0,10300.0,2b78,bcf848
3.0,0,30,-10.0,10431.0,3028,bf5e58
3.0,0,31,-9.0,10562.0,34d8,c1c468
3.0,0,32,-8.0,10693.0,3988,c42a78
3.0,0,33,-7.0,10824.0,3e38,c69088
3.0,0,34,-6.0,10955.0,42e8,c8f698
3.0,0,35,-5.0,11086.0,4798,cb5ca8
3.0,0,36,-4.0,11216.0,4c48,cdbe08
3.0,0,37,-3.0,11347.0,50f8,d02418
3.0,0,38,-2.0,11478.0,55a8,d28a28
3.0,0,39,-1.0,11609.0,5a58,d4f038
3.0,0,40,0.0,11740.0,5f08,d75648
3.0,0,41,1.0,11871.0,63b8,d9bc58
3.0,0,42,2.0,12002.0,6868,dc2268
3.0,0,43,3.0,12133.0,6d18,de8878
3.0,0,44,4.0,12264.0,71c8,e0ee88
3.0,0,45,5.0,12395.0,7678,e35498
3.0,0,46,6.0,12526.0,7b28,e5baa8
3.0,0,47,7.0,12657.0,7fd8,e820b8
3.0,0,48,8.0,12787.0,8488,ea8218
3.0,0,49,9.0,12918.0,8938,ece828
3.0,0,50,10.0,12856.0,8de8,ebc588
3.0,0,51,11.0,12795.0,9298,eaa798
3.0,0,52,12.0,12734.0,9748,e989a8
