OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
0.0,0,41,1.0,6699.0,63b8,7b0898
0.0,0,42,2.0,6797.0,6868,7cd3f8
0.0,0,43,3.0,6895.0,6d18,7e9f58
0.0,0,44,4.0,6994.0,71c8,806f68
0.0,0,45,5.0,7092.0,7678,823ac8
0.0,0,46,6.0,7190.0,7b28,840628
0.0,0,47,7.0,7288.0,7fd8,85d188
0.0,0,48,8.0,7387.0,8488,87a198
0.0,0,49,9.0,7485.0,8938,896cf8
0.0,0,50,10.0,7583.0,8de8,8b3858
0.0,0,51,11.0,7681.0,9298,8d03b8
0.0,0,52,12.0,7780.0,9748,8ed3c8
0.0,0,53,13.0,7878.0,9bf8,909f28
0.0,0,54,14.0,7976.0,a0a8,926a88
0.0,0,55,15.0,8075.0,a558,943a98
0.0,0,56,16.0,8173.0,aa08,9605f8
0.0,0,57,17.0,8271.0,aeb8,97d158
0.0,0,58,18.0,8370.0,b368,99a168
0.0,0,59,19.0,8468.0,b818,9b6cc8
0.0,0,60,20.0,8566.0,bcc8,9d3828
0.0,0,61,21.0,8665.0,c178,9f0838
0.0,0,62,22.0,8763.0,c628,a0d398
0.0,0,63,23.0,8861.0,cad8,a29ef8
0.0,0,64,24.0,8960.0,cf88,a46f08
0.0,0,65,25.0,9058.0,d438,a63a68
0.0,0,66,26.0,9156.0,d8e8,a805c8
0.0,0,67,27.0,9255.0,dd98,a9d5d8
0.0,0,68,28.0,9353.0,e248,aba138
0.0,0,69,29.0,9452.0,e6f8,ad7148
0.0,0,70,30.0,9550.0,eba8,af3ca8
0.0,0,71,31.0,9648.0,f058,b10808
0.0,0,72,32.0,9747.0,f508,b2d818
0.0,0,73,33.0,9845.0,f9b8,b4a378
0.0,0,74,34.0,9944.0,fe68,b67388
0.0,0,75,35.0,10042.0,10318,b83ee8
0.0,0,76,36.0,10141.0,107c8,ba0ef8
0.0,0,77,37.0,10239.0,10c78,bbda58
0.0,0,78,38.0,10338.0,11128,bdaa68
0.0,0,79,39.0,10436.0,115d8,bf75c8
0.0,0,80,40.0,10534.0,11a88,c14128
0.0,0,81,41.0,10633.0,11f38,c31138
0.0,0,82,41.0,10682.0,11f38,c3f6e8
0.0,0,83,42.0,10659.0,123e8,c38b18
0.0,0,84,43.0,10470.0,12898,c01528
0.0,0,85,44.0,10270.0,12d48,bc6ba8
0.0,0,86,45.0,10049.0,131f8,b85fb8
0.0,0,87,46.0,9838.0,136a8,b482a8
0.0,0,88,47.0,9624.0,13b58,b09788
0.0,0,89,48.0,9411.0,14008,acb118
0.0,0,90,49.0,9195.0,144b8,a8bc98
0.0,0,91,50.0,8983.0,14968,a4dad8
1.0,0,0,-40.0,3522.0,ffffa388,40dc68
