OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
0.0,0,7,-33.0,1491.0,ffffc458,1bac18
0.0,0,8,-32.0,1573.0,ffffc908,1d2c78
0.0,0,9,-31.0,1655.0,ffffcdb8,1eacd8
0.0,0,10,-30.0,1736.0,ffffd268,202888
0.0,0,11,-29.0,1818.0,ffffd718,21a8e8
0.0,0,12,-28.0,1900.0,ffffdbc8,232948
0.0,0,13,-27.0,1982.0,ffffe078,24a9a8
0.0,0,14,-26.0,2063.0,ffffe528,262558
0.0,0,15,-25.0,2145.0,ffffe9d8,27a5b8
0.0,0,16,-24.0,2227.0,ffffee88,292618
0.0,0,17,-23.0,2309.0,fffff338,2aa678
0.0,0,18,-22.0,2390.0,fffff7e8,2c2228
0.0,0,19,-21.0,2472.0,fffffc98,2da288
0.0,0,20,-20.0,2554.0,148,2f22e8
0.0,0,21,-19.0,2635.0,5f8,309e98
0.0,0,22,-18.0,2717.0,aa8,321ef8
0.0,0,23,-17.0,2799.0,f58,339f58
0.0,0,24,-16.0,2881.0,1408,351fb8
0.0,0,25,-15.0,2962.0,18b8,369b68
0.0,0,26,-14.0,3044.0,1d68,381bc8
0.0,0,27,-13.0,3126.0,2218,399c28
0.0,0,28,-12.0,3208.0,26c8,3b1c88
0.0,0,29,-11.0,3289.0,2b78,3c9838
0.0,0,30,-10.0,3371.0,3028,3e1898
0.0,0,31,-9.0,3453.0,34d8,3f98f8
0.0,0,32,-8.0,3535.0,3988,411958
0.0,0,33,-7.0,3616.0,3e38,429508
0.0,0,34,-6.0,3698.0,42e8,441568
0.0,0,35,-5.0,3780.0,4798,4595c8
0.0,0,36,-4.0,3862.0,4c48,471628
0.0,0,37,-3.0,3944.0,50f8,489688
0.0,0,38,-2.0,4025.0,55a8,4a1238
0.0,0,39,-1.0,4107.0,5a58,4b9298
0.0,0,40,0.0,4196.0,5f08,4d33c8
0.0,0,41,1.0,4284.0,63b8,4ed048
0.0,0,42,2.0,4373.0,6868,507178
0.0,0,43,3.0,4461.0,6d18,520df8
0.0,0,44,4.0,4549.0,71c8,53aa78
0.0,0,45,5.0,4638.0,7678,554ba8
0.0,0,46,6.0,4726.0,7b28,56e828
0.0,0,47,7.0,4815.0,7fd8,588958
0.0,0,48,8.0,4903.0,8488,5a25d8
0.0,0,49,9.0,4992.0,8938,5bc708
0.0,0,50,10.0,5080.0,8de8,5d6388
0.0,0,51,11.0,5169.0,9298,5f04b8
0.0,0,52,12.0,5257.0,9748,60a138
0.0,0,53,13.0,5346.0,9bf8,624268
0.0,0,54,14.0,5435.0,a0a8,63e398
0.0,0,55,15.0,5523.0,a558,658018
0.0,0,56,16.0,5612.0,aa08,672148
0.0,0,57,17.0,5700.0,aeb8,68bdc8
0.0,0,58,18.0,5789.0,b368,6a5ef8
0.0,0,59,19.0,5878.0,b818,6c0028
0.0,0,60,20.0,5966.0,bcc8,6d9ca8
0.0,0,61,21.0,6055.0,c178,6f3dd8
0.0,0,62,22.0,6144.0,c628,70df08
0.0,0,63,23.0,6232.0,cad8,727b88
